transaction_id,issue,action
TXN-C4AFF1746F2A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A60528221E0A,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-9A424D2E89FE,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-A7AD8A6ABB20,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9D391E02D2AE,INVALID_AMOUNT:-50.0,REJECTED
TXN-B4D84B4B2EA9,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-80ED37407849,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-A46E66454F21,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-7906832272F2,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-8410CDE39EE7,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY|IMPUTED_MERCHANT
TXN-F965E9D5117B,FUTURE_DATE:2028-03-18 20:02:21,REJECTED
TXN-C6406BEA4195,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-675AB2C0DA1F,FUTURE_DATE:2028-01-04 21:15:09,REJECTED
TXN-516E9DFF1070,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-DAF5D8FAEC9F,INVALID_AMOUNT:-50.0,REJECTED
TXN-F8528A56A707,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9F62B7691FAE,INVALID_AMOUNT:-50.0,REJECTED
TXN-733BF939335E,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-8D2792009063,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-709C26B20332,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-415975DC396E,MISSING_DATA,CORRECTED:IMPUTED_CURRENCY
TXN-9EEC9AAC515D,FUTURE_DATE:2028-03-23 18:54:33,REJECTED
TXN-BD58BF172C23,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
TXN-44FDC7DA13C4,INVALID_AMOUNT:0.0,REJECTED
TXN-0073B6F13C8A,INVALID_AMOUNT:-50.0,REJECTED
TXN-6103684AC502,MISSING_DATA,CORRECTED:IMPUTED_MERCHANT
